column_name,data_type,n_total,n_filled,fill_pct,n_distinct,val_min,val_max,val_mean,val_std,decision,reason
credit_enhancement_proceeds,numeric,14130111,30,0.0,17,0.0,120285.63,28577.0937,36045.3544,EXCLUDE,post-event (look-ahead bias)
interest_bearing_upb,numeric,14130111,0,0.0,0,,,,,EXCLUDE,very sparse (fill=0.0%)
associated_taxes_for_holding_property,numeric,14130111,30,0.0,20,0.0,10315.08,1717.387,2314.3917,EXCLUDE,post-event (look-ahead bias)
asset_recovery_costs,numeric,14130111,30,0.0,4,0.0,2500.0,400.0,821.5838,EXCLUDE,post-event (look-ahead bias)
foreclosure_costs,numeric,14130111,30,0.0,29,105.0,11786.33,3427.3993,2788.2733,EXCLUDE,post-event (look-ahead bias)
unscheduled_principal_current,numeric,14130111,0,0.0,0,,,,,EXCLUDE,very sparse (fill=0.0%)
repurchase_date,date,14130111,0,0.0,0,,,,,EXCLUDE,post-event (look-ahead bias)
scheduled_principal_current,numeric,14130111,0,0.0,0,,,,,EXCLUDE,very sparse (fill=0.0%)
last_paid_installment_date,date,14130111,125,0.0,17,,,,,EXCLUDE,very sparse (fill=0.0%)
disposition_date,date,14130111,65,0.0,11,,,,,EXCLUDE,post-event (look-ahead bias)
zero_balance_code_change_date,date,14130111,0,0.0,0,,,,,EXCLUDE,post-event (look-ahead bias)
initial_fixedrate_period,integer,14130111,0,0.0,0,,,,,EXCLUDE,very sparse (fill=0.0%)
loan_holdback_indicator,character varying,14130111,0,0.0,0,,,,,EXCLUDE,post-event (look-ahead bias)
interest_only_first_principal_and_interest_payment_date,date,14130111,0,0.0,0,,,,,EXCLUDE,very sparse (fill=0.0%)
cumulative_credit_event_net_gain_or_loss,numeric,14130111,0,0.0,0,,,,,EXCLUDE,post-event (look-ahead bias)
foreclosure_date,date,14130111,125,0.0,11,,,,,EXCLUDE,post-event (look-ahead bias)
property_preservation_and_repair_costs,numeric,14130111,30,0.0,30,0.0,16685.94,3107.854,3992.9522,EXCLUDE,post-event (look-ahead bias)
miscellaneous_holding_expenses_and_credits,numeric,14130111,30,0.0,24,-1846.9,5297.27,574.445,1563.6875,EXCLUDE,post-event (look-ahead bias)
net_sales_proceeds,numeric,14130111,30,0.0,28,0.0,664000.0,200836.1497,189238.9161,EXCLUDE,post-event (look-ahead bias)
loan_holdback_effective_date,date,14130111,0,0.0,0,,,,,EXCLUDE,post-event (look-ahead bias)
current_period_credit_event_net_gain_or_loss,numeric,14130111,0,0.0,0,,,,,EXCLUDE,post-event (look-ahead bias)
delinquent_accrued_interest,numeric,14130111,0,0.0,0,,,,,EXCLUDE,very sparse (fill=0.0%)
arm_initial_fixedrate_period_5_yr_indicator,character varying,14130111,0,0.0,0,,,,,EXCLUDE,very sparse (fill=0.0%)
repurchase_make_whole_proceeds,numeric,14130111,30,0.0,2,0.0,165244.28,5508.1427,30169.3399,EXCLUDE,post-event (look-ahead bias)
current_list_price,numeric,14130111,0,0.0,0,,,,,EXCLUDE,post-event (look-ahead bias)
coborrower_credit_score_current,integer,14130111,0,0.0,0,,,,,EXCLUDE,very sparse (fill=0.0%)
coborrower_credit_score_at_issuance,integer,14130111,0,0.0,0,,,,,EXCLUDE,very sparse (fill=0.0%)
current_period_modification_loss_amount,numeric,14130111,0,0.0,0,,,,,EXCLUDE,post-event (look-ahead bias)
original_list_price,numeric,14130111,0,0.0,0,,,,,EXCLUDE,post-event (look-ahead bias)
other_foreclosure_proceeds,numeric,14130111,30,0.0,5,0.0,92118.47,3157.3483,16807.0269,EXCLUDE,post-event (look-ahead bias)
borrower_credit_score_current,integer,14130111,0,0.0,0,,,,,EXCLUDE,very sparse (fill=0.0%)
borrower_credit_score_at_issuance,integer,14130111,0,0.0,0,,,,,EXCLUDE,very sparse (fill=0.0%)
original_list_start_date,date,14130111,0,0.0,0,,,,,EXCLUDE,post-event (look-ahead bias)
current_list_start_date,date,14130111,0,0.0,0,,,,,EXCLUDE,post-event (look-ahead bias)
cumulative_modification_loss_amount,numeric,14130111,0,0.0,0,,,,,EXCLUDE,post-event (look-ahead bias)
mortgage_insurance_cancellation_indicator,character varying,14130111,0,0.0,0,,,,,EXCLUDE,very sparse (fill=0.0%)
months_to_amortization,integer,14130111,0,0.0,0,,,,,EXCLUDE,very sparse (fill=0.0%)
initial_interest_rate_cap_up_percent,numeric,14130111,0,0.0,0,,,,,EXCLUDE,ARM-specific (FRM-dominant sample)
mortgage_margin,numeric,14130111,0,0.0,0,,,,,EXCLUDE,ARM-specific (FRM-dominant sample)
periodic_interest_rate_cap_up_percent,numeric,14130111,0,0.0,0,,,,,EXCLUDE,ARM-specific (FRM-dominant sample)
master_servicer,character varying,14130111,0,0.0,0,,,,,EXCLUDE,identifier / admin
upb_at_issuance,numeric,14130111,0,0.0,0,,,,,EXCLUDE,very sparse (fill=0.0%)
interest_rate_adjustment_frequency,integer,14130111,0,0.0,0,,,,,EXCLUDE,ARM-specific (FRM-dominant sample)
arm_cap_structure,character varying,14130111,0,0.0,0,,,,,EXCLUDE,ARM-specific (FRM-dominant sample)
index,character varying,14130111,0,0.0,0,,,,,EXCLUDE,ARM-specific (FRM-dominant sample)
next_interest_rate_adjustment_date,date,14130111,0,0.0,0,,,,,EXCLUDE,ARM-specific (FRM-dominant sample)
reference_pool_id,character varying,14130111,0,0.0,0,,,,,EXCLUDE,identifier / admin
lifetime_interest_rate_cap_up_percent,numeric,14130111,0,0.0,0,,,,,EXCLUDE,ARM-specific (FRM-dominant sample)
arm_plan_number,integer,14130111,0,0.0,0,,,,,EXCLUDE,ARM-specific (FRM-dominant sample)
deal_name,character varying,14130111,0,0.0,0,,,,,EXCLUDE,identifier / admin
next_payment_change_date,date,14130111,0,0.0,0,,,,,EXCLUDE,ARM-specific (FRM-dominant sample)
arm_product_type,character varying,14130111,0,0.0,0,,,,,EXCLUDE,ARM-specific (FRM-dominant sample)
arm_balloon_indicator,character varying,14130111,0,0.0,0,,,,,EXCLUDE,ARM-specific (FRM-dominant sample)
modificationrelated_noninterest_bearing_upb,numeric,14130111,1704,0.01,450,0.0,330096.53,57170.5159,53200.0975,EXCLUDE,very sparse (fill=0.0%)
total_deferral_amount,numeric,14130111,4664,0.03,1012,0.0,60752.38,10270.2778,7660.5462,EXCLUDE,very sparse (fill=0.0%)
alternative_delinquency_resolution_count,integer,14130111,4664,0.03,2,1.0,2.0,1.0049,0.0701,EXCLUDE,very sparse (fill=0.0%)
foreclosure_principal_writeoff_amount,numeric,14130111,6397,0.05,1,0.0,0.0,0.0,0.0,EXCLUDE,very sparse (fill=0.1%)
principal_forgiveness_amount,numeric,14130111,6397,0.05,1,0.0,0.0,0.0,0.0,EXCLUDE,post-event (look-ahead bias)
zero_balance_code,character varying,14130111,95086,0.67,6,,,,,EXCLUDE,very sparse (fill=0.7%)
upb_at_the_time_of_removal,numeric,14130111,95086,0.67,65125,0.0,1714000.0,328840.2938,216547.4833,EXCLUDE,post-event (look-ahead bias)
zero_balance_effective_date,date,14130111,95086,0.67,20,,,,,EXCLUDE,post-event (look-ahead bias)
repurchase_make_whole_proceeds_flag,character varying,14130111,95086,0.67,2,,,,,EXCLUDE,post-event (look-ahead bias)
mortgage_insurance_percentage,numeric,14130111,5166815,36.57,21,6.0,40.0,26.2933,6.3254,DERIVE,moderate fill (36.6%); needs imputation/flag
mortgage_insurance_type,character varying,14130111,5166815,36.57,2,,,,,DERIVE,moderate fill (36.6%); needs imputation/flag
coborrower_credit_score_at_origination,integer,14130111,6276242,44.42,310,461.0,839.0,765.3029,39.901,DERIVE,moderate fill (44.4%); needs imputation/flag
total_principal_current,numeric,14130111,13159135,93.13,581063,-653812.01,1713851.3,3368.4773,35026.4417,USE,"good quality (fill=93.1%, distinct=581063)"
remaining_months_to_maturity,integer,14130111,14033324,99.32,360,1.0,360.0,335.464,51.2508,USE,"good quality (fill=99.3%, distinct=360)"
servicing_activity_indicator,character varying,14130111,14035025,99.33,2,,,,,USE,"good quality (fill=99.3%, distinct=2)"
servicer_name,character varying,14130111,14035025,99.33,33,,,,,EXCLUDE,identifier / admin
loan_payment_history,character varying,14130111,14035025,99.33,37502,,,,,EXCLUDE,identifier / admin
remaining_months_to_legal_maturity,integer,14130111,14035025,99.33,335,66.0,482.0,342.0589,41.1269,USE,"good quality (fill=99.3%, distinct=335)"
maturity_date,date,14130111,14035025,99.33,300,,,,,USE,"good quality (fill=99.3%, distinct=300)"
modification_flag,character varying,14130111,14035135,99.33,2,,,,,USE,"good quality (fill=99.3%, distinct=2)"
loan_age,integer,14130111,14035025,99.33,38,-1.0,36.0,7.2438,4.9371,USE,"good quality (fill=99.3%, distinct=38)"
current_interest_rate,numeric,14130111,14035150,99.33,2292,2.25,9.125,6.7031,0.6322,USE,"good quality (fill=99.3%, distinct=2292)"
borrower_credit_score_at_origination,integer,14130111,14106124,99.83,322,472.0,842.0,759.9965,42.163,USE,"good quality (fill=99.8%, distinct=322)"
high_loan_to_value_hltv_refinance_option_indicator,character varying,14130111,14130111,100.0,1,,,,,EXCLUDE,constant (no variance)
borrower_assistance_plan,character varying,14130111,14130111,100.0,5,,,,,USE,"good quality (fill=100.0%, distinct=5)"
special_eligibility_program,character varying,14130111,14130111,100.0,4,,,,,USE,"good quality (fill=100.0%, distinct=4)"
relocation_mortgage_indicator,character varying,14130111,14130111,100.0,2,,,,,USE,"good quality (fill=100.0%, distinct=2)"
alternative_delinquency_resolution,character varying,14130111,14130111,100.0,4,,,,,USE,"good quality (fill=100.0%, distinct=4)"
first_payment_date,date,14130111,14130111,100.0,21,,,,,USE,"good quality (fill=100.0%, distinct=21)"
high_balance_loan_indicator,character varying,14130111,14130111,100.0,2,,,,,USE,"good quality (fill=100.0%, distinct=2)"
origination_date,date,14130111,14130111,100.0,35,,,,,USE,"good quality (fill=100.0%, distinct=35)"
channel,character varying,14130111,14130111,100.0,3,,,,,USE,"good quality (fill=100.0%, distinct=3)"
monthly_reporting_period,date,14130111,14130111,100.0,21,,,,,EXCLUDE,identifier / admin
loan_identifier,character varying,14130111,14130111,100.0,970976,,,,,EXCLUDE,identifier / admin
current_actual_upb,numeric,14130111,14130111,100.0,4645327,0.0,2212000.0,318777.2368,182164.9874,USE,"good quality (fill=100.0%, distinct=4645327)"
original_interest_rate,numeric,14130111,14130111,100.0,2292,2.25,9.125,6.7053,0.6327,USE,"good quality (fill=100.0%, distinct=2292)"
original_upb,numeric,14130111,14130111,100.0,1291,7000.0,2212000.0,329389.7433,183164.2708,USE,"good quality (fill=100.0%, distinct=1291)"
original_loan_term,integer,14130111,14130111,100.0,149,85.0,360.0,349.2572,40.9362,USE,"good quality (fill=100.0%, distinct=149)"
seller_name,character varying,14130111,14130111,100.0,30,,,,,EXCLUDE,identifier / admin
occupancy_status,character varying,14130111,14130111,100.0,3,,,,,USE,"good quality (fill=100.0%, distinct=3)"
property_type,character varying,14130111,14130111,100.0,5,,,,,USE,"good quality (fill=100.0%, distinct=5)"
loan_purpose,character varying,14130111,14130111,100.0,3,,,,,USE,"good quality (fill=100.0%, distinct=3)"
first_time_home_buyer_indicator,character varying,14130111,14130111,100.0,3,,,,,USE,"good quality (fill=100.0%, distinct=3)"
original_combined_loan_to_value_ratio_cltv,integer,14130111,14130111,100.0,104,2.0,105.0,74.9637,19.8514,USE,"good quality (fill=100.0%, distinct=104)"
debttoincome_dti,integer,14130111,14129837,100.0,64,1.0,64.0,37.3667,9.2378,USE,"good quality (fill=100.0%, distinct=64)"
original_loan_to_value_ratio_ltv,integer,14130111,14130111,100.0,96,2.0,97.0,74.6393,19.6879,USE,"good quality (fill=100.0%, distinct=96)"
number_of_borrowers,integer,14130111,14130111,100.0,6,1.0,7.0,1.4658,0.5389,USE,"good quality (fill=100.0%, distinct=6)"
number_of_units,integer,14130111,14130111,100.0,4,1.0,4.0,1.0328,0.2368,USE,"good quality (fill=100.0%, distinct=4)"
property_state,character varying,14130111,14130111,100.0,54,,,,,USE,"good quality (fill=100.0%, distinct=54)"
current_loan_delinquency_status,character varying,14130111,14130111,100.0,21,,,,,USE,"good quality (fill=100.0%, distinct=21)"
zip_code_short,character varying,14130111,14130071,100.0,888,,,,,EXCLUDE,identifier / admin
prepayment_penalty_indicator,character varying,14130111,14130111,100.0,1,,,,,EXCLUDE,constant (no variance)
metropolitan_statistical_area_msa,character varying,14130111,14130111,100.0,409,,,,,USE,"good quality (fill=100.0%, distinct=409)"
amortization_type,character varying,14130111,14130111,100.0,1,,,,,EXCLUDE,constant (no variance)
interest_only_loan_indicator,character varying,14130111,14130111,100.0,1,,,,,EXCLUDE,constant (no variance)
property_valuation_method,character varying,14130111,14130111,100.0,4,,,,,USE,"good quality (fill=100.0%, distinct=4)"
payment_deferral_modification_event_indicator,character varying,14130111,14130111,100.0,1,,,,,EXCLUDE,constant (no variance)
