model,k,recall@k,precision@k
Logistic Regression,0.01,0.2577,0.0425
Logistic Regression,0.05,0.5905,0.01947
Logistic Regression,0.1,0.7194,0.01186
Random Forest,0.01,0.4551,0.07504
Random Forest,0.05,0.6672,0.022
Random Forest,0.1,0.7553,0.01245
Gradient Boosting,0.01,0.4046,0.0667
Gradient Boosting,0.05,0.6362,0.02098
Gradient Boosting,0.1,0.6982,0.01151
Static NN,0.01,0.3638,0.05998
Static NN,0.05,0.6607,0.02178
Static NN,0.1,0.7602,0.01253
Vanilla GRU,0.01,0.4356,0.07181
Vanilla GRU,0.05,0.6656,0.02195
Vanilla GRU,0.1,0.7684,0.01267
Proposed (GNN+GRU),0.01,0.478,0.07881
Proposed (GNN+GRU),0.05,0.7162,0.02361
Proposed (GNN+GRU),0.1,0.801,0.01321
